model,term,estimate,std_err,t_stat,p_value,conf_lo,conf_hi,significant
Asparagus — Full xreg,api_fresh_fruit,-0.064006,0.032066,-1.9961,0.0459,-0.126855,-0.001157,TRUE
Asparagus — Full xreg,api_fresh_vegetables,-0.142356,0.089826,-1.5848,0.113,-0.318415,0.033704,FALSE
Asparagus — Full xreg,fuel_petrol_price,-0.063815,0.141289,-0.4517,0.6515,-0.340741,0.213111,FALSE
Asparagus — Full xreg,fuel_diesel_price,-0.376914,0.117278,-3.2138,0.0013,-0.606779,-0.147049,TRUE
Asparagus — Full xreg,sppi_road_freight,2.072621,0.477943,4.3365,0,1.135852,3.00939,TRUE
Asparagus — Full xreg,shock_2021q4_2023q1,-23.948592,7.359438,-3.2541,0.0011,-38.373091,-9.524093,TRUE
Asparagus — Full xreg,post_shock,-27.635477,7.561883,-3.6546,3e-4,-42.456767,-12.814187,TRUE
Asparagus — Dummies only,ar1,0.887409,0.092368,9.6073,0,0.706367,1.068451,TRUE
Asparagus — Dummies only,ar2,-0.150645,0.096364,-1.5633,0.118,-0.339519,0.038229,FALSE
Asparagus — Dummies only,ma1,-0.999997,0.023682,-42.2266,0,-1.046413,-0.953581,TRUE
Asparagus — Dummies only,shock_2021q4_2023q1,4.900931,1.88931,2.594,0.0095,1.197883,8.603979,TRUE
Asparagus — Dummies only,post_shock,3.479528,1.677383,2.0744,0.038,0.191858,6.767199,TRUE
Capsicums (Red) — Full xreg,ar1,-0.371121,0.349265,-1.0626,0.288,-1.055681,0.313439,FALSE
Capsicums (Red) — Full xreg,ma1,0.136686,0.377936,0.3617,0.7176,-0.604069,0.877441,FALSE
Capsicums (Red) — Full xreg,api_energy_and_lubricants,-0.01588,0.010753,-1.4768,0.1397,-0.036955,0.005196,FALSE
Capsicums (Red) — Full xreg,api_fertilisers_and_soil_improvers,0.007219,0.003427,2.1068,0.0351,5.03e-4,0.013936,TRUE
Capsicums (Red) — Full xreg,api_plant_protection_products,-0.020025,0.018698,-1.071,0.2842,-0.056673,0.016622,FALSE
Capsicums (Red) — Full xreg,api_fresh_fruit,0.002922,0.004904,0.5959,0.5512,-0.006689,0.012533,FALSE
Capsicums (Red) — Full xreg,api_fresh_vegetables,0.037402,0.012312,3.0377,0.0024,0.01327,0.061534,TRUE
Capsicums (Red) — Full xreg,fuel_petrol_price,0.055152,0.019893,2.7725,0.0056,0.016162,0.094142,TRUE
Capsicums (Red) — Full xreg,fuel_diesel_price,-0.043605,0.013404,-3.2532,0.0011,-0.069876,-0.017334,TRUE
Capsicums (Red) — Full xreg,sppi_road_freight,-0.001033,0.01855,-0.0557,0.9556,-0.037392,0.035325,FALSE
Capsicums (Red) — Full xreg,shock_2021q4_2023q1,-0.047081,0.357281,-0.1318,0.8952,-0.747352,0.653191,FALSE
Capsicums (Red) — Full xreg,post_shock,1.644662,0.562051,2.9262,0.0034,0.543041,2.746282,TRUE
Capsicums (Red) — Dummies only,ar1,0.792632,0.054279,14.603,0,0.686246,0.899018,TRUE
Capsicums (Red) — Dummies only,ma1,-1,0.022573,-44.3006,0,-1.044243,-0.955756,TRUE
Capsicums (Red) — Dummies only,shock_2021q4_2023q1,-0.181473,0.240206,-0.7555,0.45,-0.652276,0.289329,FALSE
